CODFILIAL,CATEGORIA,CATEGORIA2,SEGMENTO,Jan_FAT,Fev_FAT,Mar_FAT,Abr_FAT,TOTAL_FAT,MARGEM_MEDIA
1,NECTARINA,FRUTAS/FRUTOS,FLV NACIONAIS,0.0,0.0,10920.0,0.0,10920.0,0.1977
1,PESSEGO,FRUTAS/FRUTOS,FLV NACIONAIS,0.0,2640.0,2400.0,0.0,5040.0,0.1341
1,LARANJA,FRUTAS/FRUTOS,FLV IMPORTADOS,2500.0,0.0,0.0,0.0,2500.0,0.0305
1,PESSEGO,FRUTAS/FRUTOS,FLV IMPORTADOS,0.0,0.0,2500.0,0.0,2500.0,0.1341
1,NECTARINA,FRUTAS/FRUTOS,FLV IMPORTADOS,0.0,2200.0,0.0,0.0,2200.0,0.1977
2,BATATA,TUBERCULOS,FLV NACIONAIS,158348.71,216311.17,222145.44,105777.82,702583.14,0.194
2,MACA,FRUTAS/FRUTOS,FLV NACIONAIS,162147.46,148778.43,157738.14,24487.81,493151.84,0.2067
2,MELAO,FRUTAS/FRUTOS,FLV NACIONAIS,135070.94,98991.78,95110.3,15177.98,344351.0,0.1926
2,MAMAO,FRUTAS/FRUTOS,FLV NACIONAIS,51973.86,45682.06,67305.98,14018.84,178980.74,0.1974
2,UVA,FRUTAS/FRUTOS,FLV NACIONAIS,29776.0,26725.0,67151.7,15033.0,138685.7,0.1553
2,CEBOLA,TUBERCULOS,FLV NACIONAIS,27706.57,18935.6,57663.0,14834.8,119139.97,0.2235
2,MANGA,FRUTAS/FRUTOS,FLV NACIONAIS,16001.08,9284.22,59677.82,26984.24,111947.36,0.0145
2,ALHO,TUBERCULOS,FLV NACIONAIS,54462.72,33263.88,15064.0,2358.24,105148.84,0.1995
2,MELANCIA,FRUTAS/FRUTOS,FLV NACIONAIS,13165.3,52777.6,25411.55,2217.2,93571.65,0.2627
2,PERA,FRUTAS/FRUTOS,FLV NACIONAIS,8718.78,60289.22,20396.25,3166.96,92571.21,0.1039
2,TOMATE,FRUTAS/FRUTOS,FLV NACIONAIS,6569.8,27499.6,41724.06,12619.5,88412.96,0.2063
2,LARANJA,FRUTAS/FRUTOS,FLV NACIONAIS,9894.4,23845.8,23794.06,9537.27,67071.53,0.2117
2,BATATA,FRUTAS/FRUTOS,FLV NACIONAIS,5316.0,4783.0,4990.0,1260.0,16349.0,0.194
3,MACA,FRUTAS/FRUTOS,FLV NACIONAIS,914197.0,932080.0,826080.0,115920.0,2788277.0,0.0
3,ALHO,TUBERCULOS,FLV NACIONAIS,535600.0,562400.0,947800.0,0.0,2045800.0,0.12
3,LARANJA,FRUTAS/FRUTOS,FLV NACIONAIS,163712.0,230400.0,189696.0,91200.0,675008.0,0.0
